942.56, 
852.61, 
946.51, 
929.79, 
889.96, 
941.32, 
920.73, 
938.93, 
948.28, 
881.35, 
932.34, 
949.35, 
894.34, 
932.17, 
916.15, 
934.62, 
931.94, 
932.34, 
849.24, 
941.19, 
970.21, 
906.40, 
816.29, 
927.57, 
911.97, 
847.16, 
904.83, 
697.48, 
562.34, 
572.10, 
608.36, 
581.16, 
605.18, 
602.12, 
708.03, 
710.75, 
702.45, 
729.80, 
692.41, 
690.69, 
741.13, 
714.50, 
729.56, 
733.68, 
630.19, 
717.78, 
703.06, 
740.04, 
725.21, 
725.20, 
732.39, 
726.98, 
725.42, 
714.47, 
744.04, 
725.69, 
732.53, 
721.77, 
733.09, 
718.37, 
735.64, 
683.75, 
697.42, 
719.43, 
730.09, 
714.74, 
723.21, 
701.10, 
731.97, 
715.93, 
740.47, 
743.29, 
744.11, 
726.25, 
738.01, 
716.21, 
726.67, 
735.82, 
724.14, 
681.03, 
727.39, 
719.92, 
728.57, 
731.76, 
740.91, 
724.32, 
701.84, 
680.89, 
737.74, 
726.13, 
731.39, 
721.01, 
733.10, 
725.41, 
724.11, 
726.65, 
684.36, 
719.05, 
688.55, 
720.80, 
