261.665, 
272.417, 
259.195, 
263.727, 
264.534, 
269.157, 
268.564, 
281.654, 
266.267, 
291.040, 
277.942, 
269.488, 
381.871, 
326.261, 
275.759, 
270.194, 
264.016, 
272.279, 
262.724, 
266.418, 
270.518, 
266.098, 
267.143, 
266.383, 
266.899, 
294.180, 
265.152, 
269.594, 
271.863, 
265.187, 
286.494, 
313.250, 
271.337, 
273.054, 
267.257, 
284.103, 
261.252, 
275.247, 
268.103, 
271.819, 
297.096, 
268.016, 
263.449, 
271.140, 
270.784, 
261.012, 
271.277, 
273.812, 
297.610, 
261.788, 
272.456, 
274.719, 
275.023, 
268.164, 
269.075, 
267.840, 
266.867, 
266.706, 
268.000, 
262.137, 
266.274, 
267.991, 
268.697, 
263.312, 
260.570, 
262.564, 
360.172, 
267.552, 
262.919, 
259.118, 
259.094, 
264.616, 
267.487, 
265.813, 
268.969, 
271.958, 
262.984, 
268.570, 
261.416, 
257.552, 
262.772, 
262.823, 
272.079, 
287.762, 
324.618, 
272.221, 
264.183, 
260.808, 
311.563, 
270.045, 
274.008, 
268.036, 
265.469, 
261.034, 
261.618, 
275.254, 
273.142, 
294.513, 
267.024, 
267.382, 
